@relation cpu-weka.filters.unsupervised.attribute.Standardize

@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric

@data
-0.302859,-0.673409,-0.494275,5.680569,1.658008,4.220899,0.57438
-0.671717,1.323114,1.722913,0.167228,0.484346,0.528211,1.015838
-0.671717,1.323114,1.722913,0.167228,0.484346,0.528211,0.71117
-0.671717,1.323114,1.722913,0.167228,0.484346,0.528211,0.41272
-0.671717,1.323114,0.358489,0.167228,0.484346,-0.087238,0.164011
-0.683244,1.323114,1.722913,0.954848,0.484346,0.528211,1.320506
-0.69477,3.385638,1.722913,0.954848,1.658008,0.528211,1.625174
-0.69477,3.385638,1.722913,0.954848,1.658008,0.528211,2.383736
-0.69477,3.385638,4.45176,0.954848,1.658008,0.528211,3.29774
-0.69477,7.510686,4.45176,2.530088,4.005332,1.759107,6.456341
0.753765,-0.481594,-0.750105,-0.620392,-0.542608,-0.625755,-0.420455
0.753765,-0.607408,-0.707467,-0.52194,-0.542608,-0.471893,-0.408019
-0.552606,-0.223779,-0.323723,0.979461,-0.542608,-0.394962,-0.084698
-0.591029,0.291852,0.358489,0.979461,-0.542608,-0.394962,0.201317
0.561651,-0.72291,-1.000477,-0.620392,-0.542608,-0.548824,-0.594551
-0.014689,-0.607408,0.358489,-0.620392,-0.102485,0.528211,-0.439108
-0.141484,-0.604315,-0.835381,-0.423487,-0.102485,-0.125703,-0.538591
-0.233698,-0.607408,-0.579552,-0.620392,0.337638,0.528211,-0.482632
-0.233698,-0.481594,-0.835381,-0.620392,0.044223,-0.087238,-0.463979
-0.360493,0.549668,-0.579552,2.874672,0.484346,1.759107,0.089398
-0.233698,-0.352687,-0.468693,-0.620392,0.044223,0.528211,-0.470196
-0.233698,0.059818,-0.47722,-0.620392,0.044223,0.066624,-0.451543
-0.233698,-0.146434,-0.47722,-0.620392,0.190931,1.759107,-0.277447
-0.360493,0.059818,-0.47722,-0.620392,0.190931,1.759107,-0.184181
0.446383,-0.70641,-0.494275,-0.620392,-0.542608,-0.2411,-0.51372
0.446383,-0.607408,-0.835381,-0.52194,-0.542608,-0.587289,-0.227705
0.446383,-0.673409,-0.494275,-0.620392,-0.542608,-0.471893,-0.451543
0.446383,-0.673409,-0.750105,-0.52194,-0.542608,-0.587289,-0.488849
0.446383,-0.607408,-0.579552,-0.52194,-0.542608,-0.510358,-0.177964
0.446383,-0.673409,-0.579552,-0.52194,-0.542608,-0.471893,-0.488849
-0.687086,-0.401672,-0.78251,2.603928,1.071177,0.220486,1.046927
-0.687086,-0.401672,-0.78251,2.603928,1.071177,0.220486,1.631392
-0.591029,-0.063933,-0.112237,0.118002,1.071177,0.220486,-0.457761
-0.591029,-0.063933,-0.112237,0.118002,1.071177,0.220486,-0.265012
-0.567976,0.611543,0.782313,0.118002,1.071177,0.220486,0.00235
-0.537237,0.611543,0.782313,0.118002,1.071177,0.220486,0.636557
-0.591029,-0.610502,-0.835381,-0.423487,-0.542608,-0.548824,-0.532373
-0.591029,-0.481594,-0.664828,-0.423487,-0.542608,-0.510358,-0.476414
-0.591029,-0.223779,-0.323723,-0.423487,-0.542608,-0.510358,-0.21527
-0.591029,-0.481594,-0.664828,-0.423487,-0.249193,-0.510358,-0.495067
-0.591029,-0.481594,-0.323723,-0.423487,-0.249193,-0.510358,-0.43289
-0.591029,-0.223779,0.358489,-0.423487,-0.249193,-0.510358,-0.408019
-0.591029,-0.223779,0.358489,-0.423487,-0.249193,-0.471893,-0.333406
-0.591029,-0.223779,0.358489,-0.423487,-0.249193,-0.471893,-0.283665
-0.272121,-0.481594,0.017383,-0.398874,-0.249193,-0.2411,-0.209052
-0.272121,-0.481594,-0.323723,-0.398874,-0.249193,-0.2411,-0.209052
2.329095,-0.607408,-0.962273,-0.423487,-0.542608,-0.66422,-0.544809
2.329095,-0.481594,-0.579552,-0.620392,-0.542608,-0.66422,-0.532373
0.446383,-0.607408,-0.323723,-0.52194,-0.542608,-0.510358,-0.408019
-0.014689,-0.607408,-0.323723,-0.423487,-0.542608,-0.394962,-0.271229
1.906445,-0.640409,-0.323723,-0.620392,-0.542608,-0.66422,-0.507503
1.906445,-0.673409,-0.835381,-0.620392,-0.542608,-0.66422,-0.507503
-0.245225,-0.481594,0.358489,-0.226582,-0.542608,-0.587289,0.201317
-0.014689,-0.481594,-0.323723,-0.620392,-0.542608,-0.625755,-0.43289
-0.360493,-0.481594,-0.664828,-0.226582,-0.542608,-0.625755,-0.495067
-0.360493,-0.481594,0.017383,-0.226582,-0.542608,-0.625755,-0.283665
0.062157,-0.481594,-0.323723,-0.226582,-0.542608,-0.625755,-0.21527
2.290672,-0.673409,-0.323723,-0.620392,-0.542608,-0.548824,-0.582115
2.290672,-0.673409,-0.323723,-0.620392,-0.542608,-0.548824,-0.56968
2.290672,-0.673409,-0.323723,-0.620392,-0.542608,-0.548824,-0.532373
2.290672,-0.673409,-0.323723,-0.620392,-0.542608,-0.548824,-0.557244
2.290672,-0.673409,-0.323723,-0.620392,-0.542608,-0.548824,-0.519938
-0.302859,-0.607408,-0.920658,-0.620392,0.484346,0.066624,-0.43289
-0.494972,-0.223779,-0.323723,0.954848,-0.542608,0.759004,0.238623
-0.494972,-0.223779,0.358489,0.954848,-0.542608,0.759004,0.238623
