@relation cpu-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric

@data
0.072825,0.006012,0.092843,1,0.307692,0.727273,0.167832
0.008092,0.248497,0.4995,0.125,0.153846,0.181818,0.229895
0.008092,0.248497,0.4995,0.125,0.153846,0.181818,0.187063
0.008092,0.248497,0.4995,0.125,0.153846,0.181818,0.145105
0.008092,0.248497,0.249249,0.125,0.153846,0.090909,0.11014
0.006069,0.248497,0.4995,0.25,0.153846,0.181818,0.272727
0.004046,0.498998,0.4995,0.25,0.307692,0.181818,0.315559
0.004046,0.498998,0.4995,0.25,0.307692,0.181818,0.422203
0.004046,0.498998,1,0.25,0.307692,0.181818,0.550699
0.004046,1,1,0.5,0.615385,0.363636,0.994755
0.25826,0.029309,0.045921,0,0.019231,0.011364,0.027972
0.25826,0.014028,0.053741,0.015625,0.019231,0.034091,0.02972
0.028995,0.060621,0.124124,0.253906,0.019231,0.045455,0.075175
0.022252,0.123247,0.249249,0.253906,0.019231,0.045455,0.115385
0.224545,0,0,0,0.019231,0.022727,0.003496
0.123398,0.014028,0.249249,0,0.076923,0.181818,0.02535
0.101146,0.014404,0.03028,0.03125,0.076923,0.085227,0.011364
0.084963,0.014028,0.077202,0,0.134615,0.181818,0.019231
0.084963,0.029309,0.03028,0,0.096154,0.090909,0.021853
0.062711,0.154559,0.077202,0.554687,0.153846,0.363636,0.09965
0.084963,0.044965,0.097535,0,0.096154,0.181818,0.020979
0.084963,0.095065,0.095971,0,0.096154,0.113636,0.023601
0.084963,0.070015,0.095971,0,0.115385,0.363636,0.048077
0.062711,0.095065,0.095971,0,0.115385,0.363636,0.061189
0.204316,0.002004,0.092843,0,0.019231,0.068182,0.01486
0.204316,0.014028,0.03028,0.015625,0.019231,0.017046,0.05507
0.204316,0.006012,0.092843,0,0.019231,0.034091,0.023601
0.204316,0.006012,0.045921,0.015625,0.019231,0.017046,0.018357
0.204316,0.014028,0.077202,0.015625,0.019231,0.028409,0.062063
0.204316,0.006012,0.077202,0.015625,0.019231,0.034091,0.018357
